horse_id,race_id,日付,レース名,開催,場名,num_horses,馬番,着順,距離,芝・ダート,天気,馬場,走破時間,上がり,斤量,騎手,jockey_id,オッズ,人気,通過順,馬体重,体重変化,着差,ペース,性,齢,is_jra_race,データソース
2018100184,202508030511,,MBS賞スワンS(GII),3京都5,京都,18.0,2.0,12.0,,芝,晴,良,1:19.5,33.1,57.0,柴田善臣,00641,86.9,16.0,17-18,482.0,-2.0,0.6,33.5-34.0,,,True,individual_page_result
2018100184,202506040111,,京成杯オータムH(GIII),4中山1,中山,16.0,14.0,14.0,,芝,晴,良,1:32.3,34.1,56.5,柴田善臣,00641,12.9,7.0,15-11-12,484.0,-6.0,1.0,34.6-33.9,,,True,individual_page_result
2018100184,202506020211,,中山記念(GII),2中山2,中山,16.0,5.0,4.0,,芝,晴,良,1:45.3,34.0,57.0,田辺裕信,01075,113.7,14.0,15-15-13-14,490.0,6.0,0.5,35.6-34.8,,,True,individual_page_result
2018100184,202408060611,,マイルチャンピオンS(GI),6京都6,京都,17.0,16.0,7.0,,芝,曇,良,1:32.6,33.5,58.0,柴田善臣,00641,152.7,13.0,17-17,484.0,-2.0,0.6,33.8-34.5,,,True,individual_page_result
2018100184,202405040511,,富士S(GII),4東京5,東京,17.0,13.0,15.0,,芝,曇,良,1:33.1,33.1,57.0,柴田善臣,00641,47.0,10.0,16-16,486.0,-6.0,1.0,34.2-34.0,,,True,individual_page_result
2018100184,202406040211,,京成杯オータムH(GIII),4中山2,中山,16.0,15.0,2.0,,芝,晴,良,1:31.0,32.4,56.0,柴田善臣,00641,161.8,14.0,15-15-14,492.0,4.0,0.2,34.2-33.5,,,True,individual_page_result
2018100184,202404030211,,関屋記念(GIII),3新潟2,新潟,18.0,7.0,12.0,,芝,晴,良,1:33.8,32.9,57.0,柴田善臣,00641,171.9,16.0,18-18,488.0,4.0,0.9,35.4-33.3,,,True,individual_page_result
2018100184,202405030411,,エプソムC(GIII),3東京4,東京,18.0,5.0,15.0,,芝,曇,良,1:45.9,34.4,57.0,北村友一,01102,42.4,11.0,17-13-13,484.0,-4.0,1.2,35.2-34.6,,,True,individual_page_result
2018100184,202406030311,,ダービー卿チャレンジ(GIII),3中山3,中山,16.0,4.0,6.0,,芝,晴,稍,1:33.5,33.6,57.0,北村友一,01102,30.6,11.0,16-13-12,488.0,-6.0,0.6,35.5-35.1,,,True,individual_page_result
2018100184,202406020211,,中山記念(GII),2中山2,中山,16.0,11.0,6.0,,芝,小雨,稍,1:48.9,36.7,57.0,大野拓弥,01096,201.5,15.0,14-14-13-12,494.0,4.0,0.8,35.6-37.6,,,True,individual_page_result
2018100382,202505040611,,富士S(GII),4東京6,東京,14.0,6.0,3.0,,芝,曇,良,1:32.1,33.4,59.0,団野大成,01180,7.2,4.0,5-5,514.0,2.0,0.4,35.1-33.4,,,True,individual_page_result
2018100382,202505030211,,安田記念(GI),3東京2,東京,18.0,13.0,3.0,,芝,曇,良,1:33.0,33.9,58.0,浜中俊,01115,3.3,1.0,12-12,512.0,0.0,0.3,35.0-34.3,,,True,individual_page_result
2018100382,2025,,ドバイターフ(GI),メイダン,メイダン,11.0,9.0,1.0,,芝,,良,1:45.84,,57.0,Ｃ．デム,05473,16.2,4.0,,,,,,,,False,individual_page_result
2018100382,202506020211,,中山記念(GII),2中山2,中山,16.0,8.0,3.0,,芝,晴,良,1:45.0,34.1,59.0,団野大成,01180,2.8,1.0,9-9-8-7,508.0,-9.0,0.2,35.6-34.8,,,True,individual_page_result
2018100382,2024,,香港マイル(GI),シャティン,シャティン,14.0,1.0,2.0,,芝,,良,,,57.0,モレイラ,05509,4.0,3.0,,517.0,,,,,,False,individual_page_result
2018100382,202408060611,,マイルチャンピオンS(GI),6京都6,京都,17.0,13.0,1.0,,芝,曇,良,1:32.0,33.6,58.0,団野大成,01180,5.3,4.0,10-10,514.0,2.0,-0.4,33.8-34.5,,,True,individual_page_result
2018100382,202405040511,,富士S(GII),4東京5,東京,17.0,11.0,2.0,,芝,曇,良,1:32.2,33.3,58.0,団野大成,01180,3.2,1.0,7-8,512.0,2.0,0.1,34.2-34.0,,,True,individual_page_result
2018100382,202405030211,,安田記念(GI),3東京2,東京,18.0,10.0,3.0,,芝,小雨,稍,1:32.4,33.1,58.0,モレイラ,05509,4.0,2.0,10-11,510.0,-2.0,0.1,34.5-33.9,,,True,individual_page_result
2018100382,202408030211,,読売マイラーズC(GII),3京都2,京都,17.0,14.0,1.0,,芝,小雨,稍,1:32.5,34.6,57.0,団野大成,01180,2.4,1.0,8-6,512.0,5.0,-0.3,34.1-35.4,,,True,individual_page_result
2018100382,2023,,香港マイル(GI),シャティン,シャティン,14.0,5.0,4.0,,芝,,良,,,57.0,モレイラ,05509,8.0,4.0,,507.0,,,,,,False,individual_page_result
2018104708,202505040211,,毎日王冠(GII),4東京2,東京,11.0,1.0,8.0,,芝,曇,良,1:44.7,33.3,58.0,丹内祐次,01091,48.4,9.0,10-11-11,490.0,14.0,0.7,34.8-33.7,,,True,individual_page_result
2018104708,202505030211,,安田記念(GI),3東京2,東京,18.0,12.0,13.0,,芝,曇,良,1:33.7,35.1,58.0,岩田康誠,05203,87.6,15.0,4-4,476.0,-2.0,1.0,35.0-34.3,,,True,individual_page_result
