horse_id,馬名,今回馬番,日付,レース名,開催,着順,is_jra,場名,距離,芝・ダート,走破時間,上がり,通過順,馬体重,体重変化,斤量,騎手,jockey_id,枠番,馬番,天気,馬場,オッズ,人気,race_id
2019105346,ジャスティンパレス,1.0,2025-11-02,天皇賞(秋)(GI),4東京11,3.0,True,東京,,芝,1:58.8,32.6,4-6-6,470.0,0.0,58.0,団野大成,01180,3.0,3.0,曇,良,20.4,8.0,202505041111
2019105346,ジャスティンパレス,1.0,2025-06-15,宝塚記念(GI),3阪神4,3.0,True,阪神,,芝,2:11.6,35.1,14-14-15-14,470.0,-4.0,58.0,ディー,05674,4.0,7.0,晴,稍,31.5,10.0,202509030411
2019105346,ジャスティンパレス,1.0,2025-05-04,天皇賞(春)(GI),2京都4,6.0,True,京都,,芝,3:15.1,36.6,12-12-3-3,474.0,0.0,58.0,鮫島克駿,01157,7.0,13.0,晴,良,4.9,3.0,202508020411
2019105346,ジャスティンパレス,1.0,2025-04-06,大阪杯(GI),2阪神4,6.0,True,阪神,,芝,1:56.6,34.2,7-7-7-6,474.0,6.0,58.0,鮫島克駿,01157,4.0,6.0,晴,良,10.4,6.0,202509020411
2019105346,ジャスティンパレス,1.0,2024-12-22,有馬記念(GI),5中山8,5.0,True,中山,,芝,2:32.3,35.1,9-9-11-10,468.0,0.0,58.0,坂井瑠星,01163,6.0,11.0,晴,良,10.9,4.0,202406050811
2022105102,クロワデュノール,2.0,2025-10-05,凱旋門賞(GI),パリロンシャン,14.0,False,パリロンシャン,,芝,,,,,,56.5,北村友一,01102,,15.0,,重,6.2,3.0,2025
2022105102,クロワデュノール,2.0,2025-09-14,プランスドランジュ賞(GIII),パリロンシャン,1.0,False,パリロンシャン,,芝,2:11.69,,,,,58.0,北村友一,01102,,3.0,,重,,1.0,2025
2022105102,クロワデュノール,2.0,2025-06-01,東京優駿(GI),2東京12,1.0,True,東京,,芝,2:23.7,34.2,4-3-2-3,504.0,4.0,57.0,北村友一,01102,7.0,13.0,晴,良,2.1,1.0,202505021211
2022105102,クロワデュノール,2.0,2025-04-20,皐月賞(GI),3中山8,2.0,True,中山,,芝,1:57.3,34.7,4-4-6-2,500.0,4.0,57.0,北村友一,01102,5.0,10.0,曇,良,1.5,1.0,202506030811
2022105102,クロワデュノール,2.0,2024-12-28,ホープフルS(GI),5中山9,1.0,True,中山,,芝,2:00.5,34.9,7-7-4-3,496.0,-8.0,56.0,北村友一,01102,3.0,6.0,晴,良,1.8,1.0,202406050911
2021106787,コスモキュランダ,3.0,2025-11-02,天皇賞(秋)(GI),4東京11,12.0,True,東京,,芝,1:59.2,33.3,2-3-3,520.0,18.0,58.0,津村明秀,01092,1.0,1.0,曇,良,117.0,14.0,202505041111
2021106787,コスモキュランダ,3.0,2025-09-21,産経賞オールカマー(GII),4中山7,8.0,True,中山,,芝,2:11.0,35.2,5-5-2-2,502.0,4.0,57.0,丹内祐次,01091,1.0,1.0,曇,良,8.1,5.0,202506040711
2021106787,コスモキュランダ,3.0,2025-08-17,札幌記念(GII),1札幌8,10.0,True,札幌,,芝,2:02.6,36.1,12-13-13-13,498.0,-6.0,58.0,丹内祐次,01091,2.0,4.0,曇,稍,10.7,6.0,202501010811
2021106787,コスモキュランダ,3.0,2025-04-06,大阪杯(GI),2阪神4,8.0,True,阪神,,芝,1:56.8,34.6,5-6-5-5,504.0,-6.0,58.0,丹内祐次,01091,5.0,9.0,晴,良,20.1,9.0,202509020411
2021106787,コスモキュランダ,3.0,2025-01-26,アメリカジョッキーC(GII),1中山9,3.0,True,中山,,芝,2:12.2,36.4,14-13-3-2,510.0,6.0,57.0,横山武史,01170,7.0,13.0,晴,良,7.4,3.0,202506010911
2018104475,ディープモンスター,4.0,2025-10-05,京都大賞典(GII),3京都2,1.0,True,京都,,芝,2:23.9,34.4,6-5-7-7,466.0,0.0,57.0,浜中俊,01115,2.0,3.0,曇,稍,11.3,5.0,202508030211
2018104475,ディープモンスター,4.0,2025-08-31,新潟記念(GIII),3新潟4,3.0,True,新潟,,芝,1:58.2,32.6,11-10,466.0,-4.0,57.0,菅原明良,01179,5.0,9.0,晴,良,22.8,7.0,202504030411
2018104475,ディープモンスター,4.0,2025-07-20,小倉記念(GIII),2小倉8,3.0,True,小倉,,芝,2:00.3,36.3,6-6-7-7,470.0,2.0,58.0,北村友一,01102,8.0,16.0,晴,良,5.8,2.0,202510020811
2018104475,ディープモンスター,4.0,2025-06-01,目黒記念(GII),2東京12,4.0,True,東京,,芝,2:33.4,34.3,15-16-17-15,468.0,-2.0,58.0,松山弘平,01126,6.0,11.0,曇,良,49.1,13.0,202505021212
2018104475,ディープモンスター,4.0,2025-05-10,エプソムC(GIII),2東京5,7.0,True,東京,,芝,1:44.7,34.8,11-11-11,470.0,6.0,57.0,ディー,05674,6.0,12.0,曇,稍,16.0,7.0,202505020511
2021105560,サンライズアース,5.0,2025-10-05,京都大賞典(GII),3京都2,2.0,True,京都,,芝,2:24.0,35.0,1-1-1-1,534.0,4.0,58.0,池添謙一,01032,3.0,5.0,曇,稍,5.3,2.0,202508030211
2021105560,サンライズアース,5.0,2025-05-04,天皇賞(春)(GI),2京都4,4.0,True,京都,,芝,3:14.8,36.4,4-3-2-2,530.0,4.0,58.0,池添謙一,01032,3.0,5.0,晴,良,4.5,2.0,202508020411
2021105560,サンライズアース,5.0,2025-03-23,阪神大賞典(GII),1阪神8,1.0,True,阪神,,芝,3:03.3,35.0,1-1-2-2,526.0,-8.0,56.0,池添謙一,01032,7.0,9.0,晴,良,5.7,4.0,202509010811
2021105560,サンライズアース,5.0,2025-02-08,早春S(3勝クラス),1東京3,2.0,True,東京,,芝,2:25.2,34.9,2-2-2-2,534.0,-6.0,58.0,菅原明良,01179,7.0,12.0,晴,良,5.7,4.0,202505010311
